ID,Name,Sex,Age,NOC,Year
12,Jyri Tapani Aalto,M,31,FIN,2000
13,Minna Maarit Aalto,F,34,FIN,2000
18,Timo Antero Aaltonen,M,31,FIN,2000
23,Fritz Aanes,M,22,NOR,2000
30,Pepijn Aardewijn,M,30,NED,2000
36,Stefan Remco Aartsen,M,25,NED,2000
53,Talaat Abada,M,24,EGY,2000
68,Pablo Martn Abal,M,23,ARG,2000
70,Jess Iory Aball Martnez,M,26,CUB,2000
76,Jouan Patrice Abanda Etong,M,22,CMR,2000
82,Enrique Abaroa Martnez,M,26,MEX,2000
106,Agostino Abbagnale,M,34,ITA,2000
118,Mahmoud Abbas,M,22,EGY,2000
123,Sohail Abbas,M,25,PAK,2000
131,Tran Abbasova,F,33,AZE,2000
134,Christian Abbiati,M,23,ITA,2000
136,Alessandro Abbio,M,29,ITA,2000
140,"William ""Bill"" Abbott Jr.",M,46,CAN,2000
152,Matt Abbott,M,34,CAN,2000
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22,EGY,2000
171,Mahmoud Abdel Aziz,M,25,EGY,2000
172,Mohamed Abdel Ellah,M,32,EGY,2000
177,Mohamed Abdel Fattah,M,23,EGY,2000
180,Heba Abdel Gawad,F,18,EGY,2000
181,Sara Abdel Gawad,F,18,EGY,2000
216,Kamal Abdel Rehim,M,26,EGY,2000
217,Reskalla Mohamed Abdel Rehim,M,22,EGY,2000
218,Ahmed Ali Abdel Samad,M,27,EGY,2000
244,Raouf Abdelraouf,M,22,EGY,2000
256,"Abdihakim ""Abdi"" Abdirahman",M,23,USA,2000
257,Ali Abdo,M,19,AUS,2000
264,Justin Abdou,M,29,CAN,2000
275,Bashir Abdullah Abdul Aziz,M,22,KUW,2000
276,Chairil Anwar Abdul Aziz,M,28,MAS,2000
277,Shaimaa Abdul Aziz,F,19,EGY,2000
279,Jefri Kiko Bolkiah Abdul Hakeem,M,27,BRU,2000
280,Mohamed Abdul Hamid,M,19,SUD,2000
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14,BRN,2000
331,Wan Azlan Abdullah,M,25,MAS,2000
336,Arif Yadulla Abdullayev,M,32,AZE,2000
337,Mukhammad Kadyr Abdullayev,M,26,UZB,2000
339,Namiq Yadulla Abdullayev,M,29,AZE,2000
351,Julius Shareef Abdur-Rahim,M,23,USA,2000
359,Andrey Khakimovich Abduvaliyev,M,34,UZB,2000
371,Shinnosuke Abe,M,21,JPN,2000
376,Yoshiyuki Abe,M,31,JPN,2000
397,Mara Abel Diguez,F,25,ESP,2000
411,Gezahgne Abera,M,22,ETH,2000
423,Michael Brent Abernathy,M,22,USA,2000
429,Ruwani Abeymanne,F,30,SRI,2000
471,Ashraf Abou El-Hassan,M,25,EGY,2000
473,Magdy Abou El-Magd,M,27,EGY,2000
476,Mohamed Moustafa Abou Elea,M,20,EGY,2000
479,Zaid Abou Hamed,M,30,SYR,2000
486,Zakaria Aboub,M,20,MAR,2000
514,Ara Abrahamian,M,25,SWE,2000
580,Svetlana Olegovna Abrosimova,F,20,RUS,2000
598,Omar Abu-Fares,M,16,JOR,2000
602,Abudoureheman,M,22,CHN,2000
637,Eusebio Acea Colarte,M,31,CUB,2000
666,Aziz Acharki,M,28,GER,2000
675,"Onochie Lawrence ""Larry"" Achike",M,25,GBR,2000
682,Julius Achon,M,23,UGA,2000
707,Urban Acman,M,24,SLO,2000
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,25,USA,2000
755,Ali Enver Adakan,M,23,TUR,2000
812,David Dixie Adams,M,30,RSA,2000
817,"Gerard ""Gerry"" Adams",M,38,AUS,2000
858,Charles Adamu,M,23,GHA,2000
873,Mehdi Addadi,M,28,ALG,2000
903,Carolyn Adel,F,22,SUR,2000
920,Ibrahim Mohamed Aden Gedi,M,27,SOM,2000
929,Berhane Adere Debala,F,27,ETH,2000
946,Adel Mohamed Adili,M,26,LBA,2000
953,Franck Adisson,M,31,FRA,2000
960,Amanda Jo Adkins (-Schneider),F,23,USA,2000
991,Christopher Silas Adolf,M,24,PLW,2000
1000,Dainius Adomaitis,M,26,LTU,2000
1002,Daniel Adomako,M,20,GHA,2000
1005,Neil Isaac Adonis,M,31,RSA,2000
1020,Adriana Aparecida dos Santos,F,29,BRA,2000
1022,Sharnol Leonard Adriana,M,29,NED,2000
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,BRA,2000
1030,Martha Adusei,F,24,CAN,2000
1037,Rustam Iwanovych Adzhy,M,27,UKR,2000
1084,Shimaa Afifi,F,19,EGY,2000
1086,Madjid Aflaki Khamesh,M,27,IRI,2000
1088,"Olabisi ""Bisi"" Afolabi",F,24,NGR,2000
1097,Georgios Afroudakis,M,23,GRE,2000
1110,Aleksandr Agafonov,M,25,UZB,2000
1113,Victor Okechukwu Agali,M,21,NGR,2000
1116,Eldijana Dana Aganovi (-Bentsen),F,28,CRO,2000
1118,Francilla Agar (-Schofield),F,25,DMA,2000
1143,Jesper Agergrd Jensen,M,25,DEN,2000
1159,Julius Aghahowa,M,18,NGR,2000
1169,Marilyn Agliotti,F,21,RSA,2000
1178,"Jeffrey Allan ""Jeff"" Agoos",M,32,USA,2000
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,CUB,2000
1225,Joo Paquete Aguiar,M,17,ANG,2000
1266,Ana Carolina Aguilera,F,19,ARG,2000
1272,Yosvany Aguilera Zamora,M,25,CUB,2000
1282,Gustavo Hernando Aguirre,M,23,ARG,2000
1298,Diego Aguirregomezcorta,M,25,ARG,2000
1307,Albert Agyemang,M,22,GHA,2000
1311,"Nicholas Mark ""Nick"" A'Hern",M,31,AUS,2000
1313,Robyn Mokihana Ah Mow-Santos,F,24,USA,2000
1371,Maqsood Ahmad,M,23,PAK,2000
1375,Waseem Ahmad,M,23,PAK,2000
1379,Jrg Ahmann,M,34,GER,2000
1388,Alaa El-Din Ahmed,M,20,EGY,2000
1404,Mohammed Abdul Elah Ahmed,M,23,IRQ,2000
1406,Muhammad Anis Ahmed,M,26,PAK,2000
1416,Shamha Ahmed,F,18,MDV,2000
1444,"Christian ""Chris"" Ahrens",M,24,USA,2000
1448,Stefan Ahrens,M,23,GER,2000
1467,Mara Magdalena Aicega Amicarelli,F,26,ARG,2000
1490,Clelia Ailara,F,28,ITA,2000
1497,Djamel Ainaoui,M,25,FRA,2000
1498,"Charles Benedict ""Ben"" Ainslie",M,23,GBR,2000
1499,Ian Richard Ainslie,M,35,RSA,2000
1500,Kurt Harold Ainsworth,M,22,USA,2000
1511,Michael Christopher Aish,M,24,NZL,2000
1521,"Amina ""Mina"" At Hammou",F,22,MAR,2000
1529,Fiorella Ata Junek,F,23,PER,2000
1534,Brett Aitken,M,29,AUS,2000
1540,Artur Surenovych Aivazian,M,27,UKR,2000
1541,Yakubu Aiyegbeni,M,17,NGR,2000
1546,Eirini Andili,F,17,GRE,2000
1552,Kikelomo Ajayi,F,23,NGR,2000
1554,Omar Ajete Iglesias,M,35,CUB,2000
1555,Geard Ajetovi,M,19,SCG,2000
1559,Zita Ajkler,F,25,HUN,2000
1562,Olusegun Ajose,M,20,NGR,2000
1563,Benedicta Ajudua,F,20,NGR,2000
1566,Kouadio Vincent Aka-Akesse,M,24,CIV,2000
1573,Norihiro Akahoshi,M,24,JPN,2000
1587,zdemir Akbal,M,23,TUR,2000
1603,lknur Akdoan,F,31,TUR,2000
1640,Giorgos Akhilleos,M,19,CYP,2000
1641,Adkhamdzhon Akhilov,M,24,UZB,2000
1655,Damir Akhmetbekov,M,25,KAZ,2000
1657,Bakhyt Beshimbekovich Akhmetov,M,21,KGZ,2000
1661,Doli Akhtar,F,14,BAN,2000
1672,Mercy Akide (-Udoh),F,25,NGR,2000
1681,Peter Akinlabi,M,27,NGR,2000
1700,Marina Dazmirovna Akobiya,F,25,RUS,2000
1712,Mavis Akoto,F,22,GHA,2000
1722,Muhammad Akram,M,29,PAK,2000
1740,Nikolay Aleksandrovich Aksyonov,M,30,RUS,2000
1741,Alyona Aksyonova,F,20,UZB,2000
1748,Serap Akta,F,28,TUR,2000
1775,Salem Mouled Musa'id Al-Ahmadi,M,31,KSA,2000
1790,Adel Al-Anezi,M,23,KUW,2000
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,29,QAT,2000
1815,Khodor Munir Al-Aywan,M,27,LIB,2000
1818,Musayed Ayed Al-Azimi,M,31,KUW,2000
1836,Hamdan Awdah Al-Bishi,M,19,KSA,2000
1837,Hamed Hamadan Al-Bishi,M,18,KSA,2000
1840,Mohamed Hamed Al-Bishi,M,24,KSA,2000
1849,Saleh Al-Buraiki,M,23,KUW,2000
1855,Hamoud Abdallah Said Al-Dalhami,M,28,OMA,2000
1857,Ramy Abdelhadi Al-Deeb,M,23,PLE,2000
1858,Fehaid Al-Deehani,M,33,KUW,2000
1867,Khaled Al-Dosari,M,28,KSA,2000
1875,Rashid Shafi Al-Dosari,M,19,QAT,2000
1885,Ramzy Al-Duhami,M,28,KSA,2000
1889,Khaled Al-Eid,M,31,KSA,2000
1899,Mohamed Al-Fararjeh,M,22,JOR,2000
1904,Bader Aman Abdul Rahman Al-Fulaij,M,23,KUW,2000
1911,Fahad Al-Geaid,M,32,KSA,2000
1934,Hamad A. Al-Hammadi,M,24,QAT,2000
1942,Mishal Sayed Al-Harbi,M,25,KUW,2000
1956,Mariam Mohamed Hadj Al-Hilli,F,16,BRN,2000
1959,Mohamed Abdullah Salim Al-Houti,M,28,OMA,2000
1961,Nawaf Al-Humaidan,M,19,KUW,2000
1968,Ahmed H. Al-Imam,M,18,QAT,2000
1971,Ali Saleh Al-Jadani,M,23,KSA,2000
1983,Mohamed Ayed Al-Kafraini,M,25,JOR,2000
1987,Esam Al-Kandari,M,29,KUW,2000
2005,Basheer Mohamed Al-Khewani,M,18,YEM,2000
2011,Ahmed Al-Kudmani,M,21,KSA,2000
2012,Khalid Al-Kulaibi,M,14,OMA,2000
2017,Mufid Saleh Krim Al-Lawanseh,M,30,JOR,2000
2020,Faisal Al-Mahmeed,M,16,KUW,2000
2025,Ahmed bin Hasher Al-Maktoum,M,36,UAE,2000
2029,Saeed bin Hasher Al-Maktoum,M,23,UAE,2000
2037,Ayoub Al-Mas,M,21,UAE,2000
2041,Mohamed Said Al-Maskary,M,26,OMA,2000
2053,Khaled Al-Mudhaf,M,22,KUW,2000
2062,Khalaf Al-Mutairi,M,21,KUW,2000
2063,Mashfi Al-Mutairi,M,27,KUW,2000
2064,Sayed Al-Mutairi Bariq,M,31,KSA,2000
2072,Tatiana Al-Najar,F,33,JOR,2000
2075,Ali Khamis Rashid Al-Neyadi,M,22,UAE,2000
2076,Gohar Mohamed Gohar Al-Nil,M,27,EGY,2000
2079,Abdul Rahman Sultan Al-Nubi Faraj,M,20,QAT,2000
2080,Mubarak Sultan Al-Nubi Faraj,M,22,QAT,2000
2083,Naser Al-Omran,M,23,KUW,2000
2086,Sultan A. B. S. S. Al-Otaibi,M,30,KUW,2000
2088,Naser Al-Othman,M,23,KUW,2000
2111,Hilal Al-Rasheedi,M,37,OMA,2000
2112,Abdullah Al-Rashidi,M,37,KUW,2000
2121,Hussain Taher Al-Sabee,M,20,KSA,2000
2127,Jamal Abdullah Al-Saffar,M,28,KSA,2000
