country,gold,silver,bronze,total,rank_by_total,participate,latitude,longitude
Afghanistan,0,0,0,0,0,yes,33.93911,67.709953
Albania,0,0,0,0,0,yes,41.153332,20.168331
Algeria,0,0,0,0,0,yes,28.033886,1.659626
American Samoa,0,0,0,0,0,yes,-14.270972,-170.132217
Andorra,0,0,0,0,0,yes,42.546245,1.601554
Angola,0,0,0,0,0,yes,-11.202692,17.873887
Anguilla,0,0,0,0,0,no,18.220554,-63.068615
Antarctica,0,0,0,0,0,no,-75.250973,-0.071389
Antigua & Barbuda,0,0,0,0,0,yes,17.060816,-61.796428
Aruba,0,0,0,0,0,yes,12.52111,-69.968338
Bangladesh,0,0,0,0,0,yes,23.684994,90.356331
Barbados,0,0,0,0,0,yes,13.193887,-59.543198
Belize,0,0,0,0,0,yes,17.189877,-88.49765
Benin,0,0,0,0,0,yes,9.30769,2.315834
Bhutan,0,0,0,0,0,yes,27.514162,90.433601
Bolivia,0,0,0,0,0,yes,-16.290154,-63.588653
Bosnia & Herzegovina,0,0,0,0,0,yes,43.915886,17.679076
Bouvet Island,0,0,0,0,0,no,-54.423199,3.413194
British Indian Ocean Territory,0,0,0,0,0,no,-6.343194,71.876519
British Virgin Islands,0,0,0,0,0,yes,18.420695,-64.639968
Brunei,0,0,0,0,0,yes,4.535277,114.727669
Burundi,0,0,0,0,0,yes,-3.373056,29.918886
Cambodia,0,0,0,0,0,yes,12.565679,104.990963
Cameroon,0,0,0,0,0,yes,7.369722,12.354722
Cape Verde,0,0,0,0,0,yes,16.002082,-24.013197
Cayman Islands,0,0,0,0,0,yes,19.513469,-80.566956
Central African Rep.,0,0,0,0,0,yes,6.611111,20.939444
Chad,0,0,0,0,0,yes,15.454166,18.732207
Chile,0,0,0,0,0,yes,-35.675147,-71.542969
Christmas Island,0,0,0,0,0,no,-10.447525,105.690449
Cocos (Keeling) Islands,0,0,0,0,0,no,-12.164165,96.870956
Comoros,0,0,0,0,0,yes,-11.875001,43.872219
Congo,0,0,0,0,0,yes,-4.038333,21.758664
Dem. Rep. Congo,0,0,0,0,0,yes,-0.228021,15.827659
Cook Islands,0,0,0,0,0,yes,-21.236736,-159.777671
Costa Rica,0,0,0,0,0,yes,9.748917,-83.753428
Cyprus,0,0,0,0,0,yes,35.126413,33.429859
Djibouti,0,0,0,0,0,yes,11.825138,42.590275
Dominica,0,0,0,0,0,yes,15.414999,-61.370976
El Salvador,0,0,0,0,0,yes,13.794185,-88.89653
Equatorial Guinea,0,0,0,0,0,yes,1.650801,10.267895
Eritrea,0,0,0,0,0,yes,15.179384,39.782334
Eswatini,0,0,0,0,0,yes,�-26.522503,31.465866
Falkland Islands,0,0,0,0,0,no,-51.796253,-59.523613
Faroe Islands,0,0,0,0,0,no,61.892635,-6.911806
French Guiana,0,0,0,0,0,no,3.933889,-53.125782
French Polynesia,0,0,0,0,0,no,-17.679742,-149.406843
French Southern Territories,0,0,0,0,0,no,-49.280366,69.348557
Gabon,0,0,0,0,0,yes,-0.803689,11.609444
Gambia,0,0,0,0,0,yes,13.443182,-15.310139
Gibraltar,0,0,0,0,0,no,36.137741,-5.345374
Greenland,0,0,0,0,0,no,71.706936,-42.604303
Guadeloupe,0,0,0,0,0,no,16.995971,-62.067641
Guam,0,0,0,0,0,yes,13.444304,144.793731
Guatemala,0,0,0,0,0,yes,15.783471,-90.230759
Guernsey,0,0,0,0,0,no,49.465691,-2.585278
Guinea,0,0,0,0,0,yes,9.945587,-9.696645
Guinea-Bissau,0,0,0,0,0,yes,11.803749,-15.180413
Guyana,0,0,0,0,0,yes,4.860416,-58.93018
Haiti,0,0,0,0,0,yes,18.971187,-72.285215
Heard & McDonald Islands,0,0,0,0,0,no,-53.08181,73.504158
Honduras,0,0,0,0,0,yes,15.199999,-86.241905
Iceland,0,0,0,0,0,yes,64.963051,-19.020835
Iraq,0,0,0,0,0,yes,33.223191,43.679291
Isle of Man,0,0,0,0,0,no,54.236107,-4.548056
Jersey,0,0,0,0,0,no,49.214439,-2.13125
Kiribati,0,0,0,0,0,yes,-3.370417,-168.734039
Laos,0,0,0,0,0,yes,19.85627,102.495496
Lebanon,0,0,0,0,0,yes,33.854721,35.862285
Lesotho,0,0,0,0,0,yes,-29.609988,28.233608
Liberia,0,0,0,0,0,yes,6.428055,-9.429499
Libya,0,0,0,0,0,yes,26.3351,17.228331
Liechtenstein,0,0,0,0,0,yes,47.166,9.555373
Luxembourg,0,0,0,0,0,yes,49.815273,6.129583
Macao SAR China,0,0,0,0,0,no,22.198745,113.543873
Madagascar,0,0,0,0,0,yes,-18.766947,46.869107
Malawi,0,0,0,0,0,yes,-13.254308,34.301525
Maldives,0,0,0,0,0,yes,3.202778,73.22068
Mali,0,0,0,0,0,yes,17.570692,-3.996166
Malta,0,0,0,0,0,yes,35.937496,14.375416
Marshall Islands,0,0,0,0,0,yes,7.131474,171.184478
Martinique,0,0,0,0,0,no,14.641528,-61.024174
Mauritania,0,0,0,0,0,yes,21.00789,-10.940835
Mauritius,0,0,0,0,0,yes,-20.348404,57.552152
Mayotte,0,0,0,0,0,no,-12.8275,45.166244
Micronesia,0,0,0,0,0,yes,7.425554,150.550812
Monaco,0,0,0,0,0,yes,43.750298,7.412841
Montenegro,0,0,0,0,0,yes,42.708678,19.37439
Montserrat,0,0,0,0,0,no,16.742498,-62.187366
Mozambique,0,0,0,0,0,yes,-18.665695,35.529562
Myanmar (Burma),0,0,0,0,0,yes,21.913965,95.956223
Nauru,0,0,0,0,0,yes,-0.522778,166.931503
Nepal,0,0,0,0,0,yes,28.394857,84.124008
New Caledonia,0,0,0,0,0,no,-20.904305,165.618042
Nicaragua,0,0,0,0,0,yes,12.865416,-85.207229
Niger,0,0,0,0,0,yes,17.607789,8.081666
Niue,0,0,0,0,0,no,-19.054445,-169.867233
Norfolk Island,0,0,0,0,0,no,-29.040835,167.954712
North Korea,0,0,0,0,0,no,40.339852,127.510093
Northern Mariana Islands,0,0,0,0,0,no,17.33083,145.38469
Oman,0,0,0,0,0,yes,21.512583,55.923255
Pakistan,0,0,0,0,0,yes,30.375321,69.345116
Palau,0,0,0,0,0,yes,7.51498,134.58252
Palestinian Territories,0,0,0,0,0,yes,31.952162,35.233154
Panama,0,0,0,0,0,yes,8.537981,-80.782127
Papua New Guinea,0,0,0,0,0,yes,-6.314993,143.95555
